Genres,Episodes,Decimal,AiredYear,Type,Source,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Members,Score,Favorites
"Comedy, Sci-Fi, Historical, Shounen, Action",12,1081,2018.0,5,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,42265,8.85,393
"Historical, Fantasy",26,1028,2006.0,5,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4777,6.06,15
"Comedy, Romance, Shounen",12,19,2014.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,80620,7.27,210
"Comedy, Romance",141,3,2008.0,5,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,334,6.66,2
Romance,2,2,2011.0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6066,7.7,2
Otro,12,64,2014.0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101587,7.36,501
"Comedy, Romance, Shoujo, Shounen, Ecchi",12,787,2012.0,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20817,6.28,26
"Comedy, Shounen",119,17,1987.0,5,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,189,6.05,0
"Comedy, Romance, Shounen",1,19,2013.0,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43396,7.94,230
"Gore, Action, Supernatural",22,16520,2011.0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,22360,7.12,55
"Sci-Fi, Romance, Fantasy, Action",1,46,1982.0,4,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1027,5.97,2
"Mistery, Romance, Fantasy, Shounen, Otro",12,32854,2017.0,5,6,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,77826,7.73,539
"Fantasy, Shounen, Otro",12,84,2017.0,5,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,72634,7.2,147
"Comedy, Otro",13,65,2018.0,5,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4052,6.84,6
"Comedy, Fantasy, Supernatural",26,133,1995.0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,89198,7.85,1702
Sci-Fi,12,32,2017.0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72747,7.01,159
"Comedy, Fantasy, Shounen, Action",131,29,2015.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,250101,7.78,4314
"Comedy, Romance, Fantasy",12,7,2013.0,5,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37639,6.82,65
"Fantasy, Hentai, Action",4,2060,2012.0,3,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,15385,7.56,437
"Historical, Action, Otro",12,1096,2017.0,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,92722,7.71,609
"Comedy, Supernatural",12,129,2011.0,5,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21460,6.78,83
Music,1,8192,2013.0,3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1599,6.57,3
"Historical, Supernatural",25,1152,2006.0,5,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12136,7.0,20
"Sci-Fi, Romance, Fantasy, Shounen, Supernatural, Otro",25,246,2011.0,5,4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,167555,7.63,1748
"Fantasy, Action, Supernatural",1,140,2010.0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,136486,7.53,732
"Shoujo, Otro",6,576,2012.0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291,5.43,0
"Comedy, Fantasy, Shounen, Action",175,29,2009.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,818652,8.08,37733
"Shounen, Action, Otro",26,88,2017.0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1699,5.09,3
"Comedy, Romance, Otro",14,67,2013.0,5,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22259,6.93,36
Hentai,1,2048,2014.0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14009,7.5,225
Hentai,1,2048,2014.0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3062,6.85,15
"Comedy, Romance",2,3,2008.0,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5737,7.18,4
"Comedy, Fantasy, Ecchi",12,261,2014.0,5,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23317,5.66,20
Comedy,13,1,2016.0,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7543,5.62,27
"Comedy, Sci-Fi, Romance, Fantasy, Ecchi",12,295,2004.0,5,9,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,46881,6.87,164
Romance,4,2,2014.0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8804,5.72,3
"Comedy, Sci-Fi, Hentai, Action",2,2089,2000.0,3,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,17853,6.72,66
"Fantasy, Otro",24,68,1998.0,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12673,7.7,68
Hentai,2,2048,2016.0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3451,7.04,14
"Sci-Fi, Romance, Fantasy, Shoujo, Supernatural",2,678,2006.0,3,13,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,15962,5.58,30
"Romance, Shounen, Action",1,26,2017.0,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16145,6.9,14
"Comedy, Romance, Fantasy, Shoujo",25,519,2009.0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,48456,6.71,253
"Gore, Action, Supernatural",1,16520,1999.0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,608,5.97,1
"Comedy, Romance",13,3,2011.0,5,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,156252,7.96,386
"Historical, Romance, Shoujo",42,1538,1978.0,5,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2036,7.37,7
"Comedy, Fantasy, Shounen, Action",1,29,2003.0,4,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,59577,6.84,269
"Comedy, Fantasy, Shounen",2,21,1988.0,4,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18357,6.91,30
"Comedy, Romance",24,3,2007.0,2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17706,5.91,28
"Comedy, Romance, Fantasy",12,7,2015.0,5,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,56161,7.05,462
Comedy,2,1,2000.0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4283,6.57,3
"Comedy, Romance",13,3,2016.0,5,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82352,7.55,213
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",26,63,2003.0,5,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,53314,7.61,387
"Comedy, Fantasy, Shoujo",1,517,1986.0,3,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,192,6.06,0
"Comedy, Sci-Fi",13,33,2015.0,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27988,6.51,40
"Comedy, Sci-Fi, Shounen",2,49,1981.0,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,394,6.36,0
"Shoujo, Music, Gore, Supernatural, Otro",1,25280,1987.0,1,6,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,772,5.0,1
"Sports, Romance, Action",26,4106,1971.0,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,395,6.07,1
Comedy,243,1,2015.0,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230,5.7,0
"Comedy, Romance, Shounen, Ecchi",12,275,2010.0,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,291333,6.97,1153
"Hentai, Ecchi",3,2304,2009.0,3,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21169,7.53,326
"Comedy, Sci-Fi, Shounen",1,49,1999.0,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,445,6.03,0
Comedy,1,1,2017.0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,193,5.36,0
Hentai,5,2048,2004.0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3376,6.3,5
"Comedy, Sports, Romance, Shounen, Action",178,4123,2001.0,5,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,107492,8.01,2833
"Sci-Fi, Romance, Shounen",2,50,1993.0,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,29153,7.22,131
"Sci-Fi, Romance, Shoujo, Shounen, Action",5,570,1989.0,3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1305,6.09,0
Sports,1,4096,1989.0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,427,5.55,0
"Romance, Music",1,8194,2017.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,532,6.47,1
"Mistery, Historical, Romance, Action, Otro",1,33866,2017.0,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,9371,7.89,34
Historical,1,1024,1988.0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,223,5.75,1
"Comedy, Romance, Shounen",13,19,2014.0,5,15,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,180124,7.51,569
"Comedy, Romance, Fantasy, Shounen, Action",24,31,1983.0,5,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,6408,8.07,102
"Sci-Fi, Romance, Action",22,42,2016.0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15577,7.56,65
"Comedy, Romance, Fantasy, Supernatural",13,135,2013.0,5,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,630486,7.98,6925
"Comedy, Romance, Fantasy, Ecchi",13,263,2008.0,5,13,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23096,7.33,52
Sci-Fi,9,32,2009.0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,5.95,0
"Comedy, Sci-Fi, Shounen, Action",1,57,2007.0,3,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,12750,6.88,15
"Fantasy, Shounen",1,20,2013.0,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47965,7.49,124
"Mistery, Comedy, Sci-Fi",4,32801,1988.0,3,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9711,7.03,43
"Sci-Fi, Shounen, Action, Otro",25,120,2007.0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,563076,8.21,14200
"Comedy, Sports, Romance, Shounen",12,4115,2012.0,5,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,42517,6.71,168
"Historical, Romance, Shounen, Thriller, Otro",12,66642,2009.0,5,8,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,118834,7.84,1083
"Romance, Supernatural, Otro",11,194,2012.0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51051,7.34,179
"Sci-Fi, Romance, Action",1,42,2006.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6824,7.3,7
"Romance, Fantasy, Shoujo, Otro",1,582,1991.0,3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,445,6.09,0
Romance,1,2,2010.0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,6.51,3
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",3,287,1996.0,3,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4283,6.66,7
"Comedy, Romance, Fantasy, Shounen",5,23,2009.0,2,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1888,6.9,3
"Romance, Otro",12,66,2017.0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212461,7.93,2548
"Historical, Romance, Fantasy, Shounen, Action",26,1054,2018.0,2,8,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1649,7.68,31
Sci-Fi,1,32,1975.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,693,4.85,1
"Comedy, Romance, Shounen",13,19,2010.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,101713,7.82,346
"Romance, Fantasy",1,6,2005.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35288,7.85,42
"Shounen, Otro",2,80,2012.0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1041,7.1,4
"Comedy, Romance, Otro",1,67,2014.0,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1354,6.01,0
"Romance, Ecchi",12,258,2007.0,5,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361605,6.02,2420
"Fantasy, Action, Supernatural",51,140,2013.0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1578,5.91,2
"Sports, Romance, Shounen, Action",24,4122,2004.0,5,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,64574,8.24,588
"Comedy, Historical",52,1025,2009.0,2,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,173776,7.68,5040
"Sci-Fi, Action",4,40,2008.0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,965,5.13,1
