Genres,Source,Type,Episodes,Decimal,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Members,Score,Favorites
"Sci-Fi, Romance, Fantasy, Shounen, Supernatural, Otro",4,5,25,246,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,167555,7.63,1748
"Fantasy, Action, Supernatural",13,0,1,140,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,136486,7.53,732
"Shoujo, Otro",6,3,6,576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291,5.43,0
"Comedy, Fantasy, Shounen, Action",6,5,175,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,818652,8.08,37733
"Shounen, Action, Otro",10,5,26,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1699,5.09,3
"Comedy, Romance, Otro",14,5,14,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22259,6.93,36
Hentai,13,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14009,7.5,225
Hentai,13,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3062,6.85,15
"Comedy, Romance",6,4,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5737,7.18,4
"Comedy, Fantasy, Ecchi",5,5,12,261,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23317,5.66,20
Comedy,9,5,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7543,5.62,27
"Comedy, Sci-Fi, Romance, Fantasy, Ecchi",9,5,12,295,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,46881,6.87,164
Romance,4,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8804,5.72,3
"Comedy, Sci-Fi, Hentai, Action",9,3,2,2089,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,17853,6.72,66
"Fantasy, Otro",6,5,24,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12673,7.7,68
Hentai,6,3,2,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3451,7.04,14
"Sci-Fi, Romance, Fantasy, Shoujo, Supernatural",13,3,2,678,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,15962,5.58,30
"Romance, Shounen, Action",6,3,1,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16145,6.9,14
"Comedy, Romance, Fantasy, Shoujo",6,5,25,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,48456,6.71,253
"Gore, Action, Supernatural",6,3,1,16520,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,608,5.97,1
"Comedy, Romance",15,5,13,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,156252,7.96,386
"Historical, Romance, Shoujo",6,5,42,1538,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2036,7.37,7
"Comedy, Fantasy, Shounen, Action",6,4,1,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,59577,6.84,269
"Comedy, Fantasy, Shounen",6,4,2,21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18357,6.91,30
"Comedy, Romance",9,2,24,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17706,5.91,28
"Comedy, Romance, Fantasy",9,5,12,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,56161,7.05,462
Comedy,9,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4283,6.57,3
"Comedy, Romance",14,5,13,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82352,7.55,213
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",5,5,26,63,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,53314,7.61,387
"Comedy, Fantasy, Shoujo",9,3,1,517,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,192,6.06,0
"Comedy, Sci-Fi",10,5,13,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27988,6.51,40
"Comedy, Sci-Fi, Shounen",6,4,2,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,394,6.36,0
"Shoujo, Music, Gore, Supernatural, Otro",6,1,1,25280,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,772,5.0,1
"Sports, Romance, Action",6,5,26,4106,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,395,6.07,1
Comedy,9,5,243,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230,5.7,0
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,291333,6.97,1153
"Hentai, Ecchi",13,3,3,2304,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21169,7.53,326
"Comedy, Sci-Fi, Shounen",6,4,1,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,445,6.03,0
Comedy,9,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,193,5.36,0
Hentai,13,3,5,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3376,6.3,5
"Comedy, Sports, Romance, Shounen, Action",6,5,178,4123,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,107492,8.01,2833
"Sci-Fi, Romance, Shounen",6,3,2,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,29153,7.22,131
"Sci-Fi, Romance, Shoujo, Shounen, Action",6,3,5,570,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1305,6.09,0
Sports,6,3,1,4096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,427,5.55,0
"Romance, Music",4,1,1,8194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,532,6.47,1
"Mistery, Historical, Romance, Action, Otro",6,0,1,33866,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,9371,7.89,34
Historical,10,0,1,1024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,223,5.75,1
"Comedy, Romance, Shounen",15,5,13,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,180124,7.51,569
"Comedy, Romance, Fantasy, Shounen, Action",6,5,24,31,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,6408,8.07,102
"Sci-Fi, Romance, Action",8,5,22,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15577,7.56,65
"Comedy, Romance, Fantasy, Supernatural",5,5,13,135,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,630486,7.98,6925
"Comedy, Romance, Fantasy, Ecchi",13,5,13,263,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23096,7.33,52
Sci-Fi,6,4,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,5.95,0
"Comedy, Sci-Fi, Shounen, Action",9,3,1,57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,12750,6.88,15
"Fantasy, Shounen",6,4,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47965,7.49,124
"Mistery, Comedy, Sci-Fi",6,3,4,32801,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9711,7.03,43
"Sci-Fi, Shounen, Action, Otro",9,5,25,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,563076,8.21,14200
"Comedy, Sports, Romance, Shounen",6,5,12,4115,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,42517,6.71,168
"Historical, Romance, Shounen, Thriller, Otro",8,5,12,66642,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,118834,7.84,1083
"Romance, Supernatural, Otro",6,5,11,194,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51051,7.34,179
"Sci-Fi, Romance, Action",9,0,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6824,7.3,7
"Romance, Fantasy, Shoujo, Otro",5,3,1,582,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,445,6.09,0
Romance,9,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,6.51,3
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",6,3,3,287,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4283,6.66,7
"Comedy, Romance, Fantasy, Shounen",6,2,5,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1888,6.9,3
"Romance, Otro",5,5,12,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212461,7.93,2548
"Historical, Romance, Fantasy, Shounen, Action",8,2,26,1054,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1649,7.68,31
Sci-Fi,9,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,693,4.85,1
"Comedy, Romance, Shounen",6,5,13,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,101713,7.82,346
"Romance, Fantasy",5,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35288,7.85,42
"Shounen, Otro",6,3,2,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1041,7.1,4
"Comedy, Romance, Otro",6,4,1,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1354,6.01,0
"Romance, Ecchi",13,5,12,258,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361605,6.02,2420
"Fantasy, Action, Supernatural",4,5,51,140,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1578,5.91,2
"Sports, Romance, Shounen, Action",6,5,24,4122,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,64574,8.24,588
"Comedy, Historical",14,2,52,1025,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,173776,7.68,5040
"Sci-Fi, Action",4,2,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,965,5.13,1
"Romance, Supernatural",13,5,13,130,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8735,6.08,5
Comedy,10,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144,4.42,0
"Comedy, Fantasy",6,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111,5.8,0
"Sci-Fi, Fantasy, Action, Ecchi",9,4,1,300,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5183,7.0,10
"Sci-Fi, Romance",6,0,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1473,6.68,2
"Historical, Romance, Fantasy, Otro",8,5,26,1094,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8376,8.09,114
"Sci-Fi, Action",9,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4274,7.29,3
"Comedy, Sci-Fi, Romance, Fantasy, Action",6,0,1,47,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,7811,7.87,116
"Comedy, Romance, Otro",9,2,4,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,119,4.54,0
"Comedy, Romance, Otro",6,4,4,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11220,6.65,8
"Comedy, Romance",9,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4550,7.87,6
"Comedy, Fantasy, Shounen, Action",6,0,1,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,57451,7.22,239
"Sci-Fi, Otro",9,5,23,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,342724,7.99,8663
"Comedy, Shounen, Otro",2,0,1,81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2371,7.16,4
"Comedy, Romance, Supernatural, Otro",6,3,2,195,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,47208,8.15,94
