Genres,Source,Type,Episodes,Decimal,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Popularity,Score,Favorites
"Comedy, Historical, Romance, Fantasy, Shounen, Action, Supernatural",6,5,167,1183,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,141,7.9,12282
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1858,6.3,48
"Comedy, Romance, Music, Otro",6,5,11,8259,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,995,8.34,381
"Comedy, Shoujo, Gore, Supernatural, Otro",8,5,25,17089,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,527,7.92,2579
"Sci-Fi, Romance, Action, Otro",5,5,24,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,103,7.53,3680
"Comedy, Romance, Shounen",6,5,25,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,172,8.32,6846
"Comedy, Romance, Music, Otro",6,5,23,8259,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,381,8.41,4443
"Comedy, Romance, Fantasy, Shoujo, Supernatural",6,5,13,647,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,259,8.14,6387
"Comedy, Romance, Fantasy, Shoujo",6,5,70,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,292,8.21,9453
"Comedy, Sci-Fi, Shoujo",6,5,78,545,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3045,7.78,216
"Romance, Shoujo",6,5,12,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,8.12,1117
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,701,8.07,2908
"Comedy, Sci-Fi, Romance",9,5,12,35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3214,6.49,18
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,568,7.99,4707
"Comedy, Romance, Fantasy, Shoujo, Music, Ecchi",13,5,25,8967,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1138,7.63,1126
"Fantasy, Shounen, Action, Supernatural",6,5,13,156,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,795,7.92,825
"Gore, Action, Otro",9,3,1,16456,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2044,7.4,276
"Fantasy, Action, Supernatural",8,5,45,140,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1016,8.13,1907
"Romance, Shoujo, Supernatural, Ecchi",13,3,1,898,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2721,6.04,64
Comedy,6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10123,3.44,0
"Sci-Fi, Fantasy, Action",6,3,4,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1950,7.14,184
Comedy,5,4,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3977,6.15,3
"Sci-Fi, Romance, Action",5,4,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6165,7.35,3
Comedy,9,4,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4119,7.42,7
Comedy,9,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12944,4.32,0
"Historical, Action",6,5,12,1032,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2963,5.91,13
"Romance, Thriller, Otro",9,0,1,65602,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,637,8.01,226
"Fantasy, Otro",6,5,51,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9003,6.86,3
"Fantasy, Shounen, Action, Ecchi",6,5,10,284,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1025,6.41,158
"Sci-Fi, Fantasy, Action",6,3,1,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,9879,5.73,0
"Fantasy, Ecchi",10,5,10,260,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2533,5.2,47
Comedy,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2146,6.65,29
"Comedy, Shounen",6,4,4,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8668,5.92,0
"Sci-Fi, Action",9,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6716,5.63,3
Hentai,13,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4398,6.54,39
"Sci-Fi, Romance, Fantasy",9,5,13,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2600,6.95,159
"Comedy, Romance, Music",15,5,26,8195,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,183,8.14,7149
"Romance, Hentai",6,3,2,2050,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2808,6.93,92
"Comedy, Fantasy, Otro",4,0,1,69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4395,7.13,13
"Comedy, Romance",6,5,12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1826,7.47,143
Fantasy,6,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3511,7.57,17
"Comedy, Romance",6,5,12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3130,6.03,13
"Sci-Fi, Fantasy",13,3,2,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6326,5.81,0
"Comedy, Sci-Fi",9,5,13,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,468,7.88,2868
"Fantasy, Shounen, Action, Supernatural",6,3,2,156,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1245,7.77,94
"Sci-Fi, Shounen, Action",6,5,12,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,821,7.5,800
"Comedy, Music",9,5,25,8193,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5092,6.47,7
Hentai,6,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7015,6.49,6
"Romance, Fantasy",11,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4822,7.17,21
"Sci-Fi, Fantasy, Action",9,5,22,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,347,7.69,1717
"Fantasy, Shounen, Action",6,5,42,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1730,7.42,219
"Romance, Music",8,5,13,8194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,367,8.02,3337
"Comedy, Sci-Fi, Historical, Shounen, Action",6,5,12,1081,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1724,8.85,393
"Historical, Fantasy",9,5,26,1028,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4956,6.06,15
"Comedy, Romance, Shounen",6,5,12,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1035,7.27,210
"Comedy, Romance",10,5,141,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10281,6.66,2
Romance,6,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4512,7.7,2
Otro,2,5,12,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,856,7.36,501
"Comedy, Romance, Shoujo, Shounen, Ecchi",6,5,12,787,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2624,6.28,26
"Comedy, Shounen",6,5,119,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11377,6.05,0
"Comedy, Romance, Shounen",6,0,1,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1690,7.94,230
"Gore, Action, Supernatural",10,3,22,16520,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2509,7.12,55
"Sci-Fi, Romance, Fantasy, Action",6,4,1,46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8226,5.97,2
"Mistery, Romance, Fantasy, Shounen, Otro",6,5,12,32854,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1064,7.73,539
"Fantasy, Shounen, Otro",6,5,12,84,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1135,7.2,147
"Comedy, Otro",14,5,13,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5286,6.84,6
"Comedy, Fantasy, Supernatural",5,5,26,133,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,949,7.85,1702
Sci-Fi,9,5,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1133,7.01,159
"Comedy, Fantasy, Shounen, Action",6,5,131,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,278,7.78,4314
"Comedy, Romance, Fantasy",6,5,12,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1842,6.82,65
"Fantasy, Hentai, Action",13,3,4,2060,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3031,7.56,437
"Historical, Action, Otro",9,5,12,1096,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,922,7.71,609
"Comedy, Supernatural",6,5,12,129,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2572,6.78,83
Music,13,3,1,8192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7323,6.57,3
"Historical, Supernatural",9,5,25,1152,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3394,7.0,20
"Sci-Fi, Romance, Fantasy, Shounen, Supernatural, Otro",4,5,25,246,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,479,7.63,1748
"Fantasy, Action, Supernatural",13,0,1,140,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,609,7.53,732
"Shoujo, Otro",6,3,6,576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10531,5.43,0
"Comedy, Fantasy, Shounen, Action",6,5,175,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,19,8.08,37733
"Shounen, Action, Otro",10,5,26,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7208,5.09,3
"Comedy, Romance, Otro",14,5,14,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2514,6.93,36
Hentai,13,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3193,7.5,225
Hentai,13,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5915,6.85,15
"Comedy, Romance",6,4,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4616,7.18,4
"Comedy, Fantasy, Ecchi",5,5,12,261,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2460,5.66,20
Comedy,9,5,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4141,5.62,27
"Comedy, Sci-Fi, Romance, Fantasy, Ecchi",9,5,12,295,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1601,6.87,164
Romance,4,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3880,5.72,3
"Comedy, Sci-Fi, Hentai, Action",9,3,2,2089,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2820,6.72,66
"Fantasy, Otro",6,5,24,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3338,7.7,68
Hentai,6,3,2,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5651,7.04,14
"Sci-Fi, Romance, Fantasy, Shoujo, Supernatural",13,3,2,678,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2980,5.58,30
"Romance, Shounen, Action",6,3,1,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2973,6.9,14
"Comedy, Romance, Fantasy, Shoujo",6,5,25,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1561,6.71,253
"Gore, Action, Supernatural",6,3,1,16520,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,9179,5.97,1
"Comedy, Romance",15,5,13,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,516,7.96,386
"Historical, Romance, Shoujo",6,5,42,1538,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6820,7.37,7
"Comedy, Fantasy, Shounen, Action",6,4,1,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1360,6.84,269
"Comedy, Fantasy, Shounen",6,4,2,21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2783,6.91,30
"Comedy, Romance",9,2,24,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2833,5.91,28
"Comedy, Romance, Fantasy",9,5,12,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1415,7.05,462
Comedy,9,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5184,6.57,3
"Comedy, Romance",14,5,13,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1020,7.55,213
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",5,5,26,63,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1471,7.61,387
"Comedy, Fantasy, Shoujo",9,3,1,517,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11339,6.06,0
"Comedy, Sci-Fi",10,5,13,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2200,6.51,40
"Comedy, Sci-Fi, Shounen",6,4,2,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,9968,6.36,0
"Shoujo, Music, Gore, Supernatural, Otro",6,1,1,25280,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,8760,5.0,1
"Sports, Romance, Action",6,5,26,4106,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9958,6.07,1
Comedy,9,5,243,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10937,5.7,0
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,224,6.97,1153
"Hentai, Ecchi",13,3,3,2304,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2596,7.53,326
"Comedy, Sci-Fi, Shounen",6,4,1,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,9732,6.03,0
Comedy,9,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11317,5.36,0
Hentai,13,3,5,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5705,6.3,5
"Comedy, Sports, Romance, Shounen, Action",6,5,178,4123,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,806,8.01,2833
"Sci-Fi, Romance, Shounen",6,3,2,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2150,7.22,131
"Sci-Fi, Romance, Shoujo, Shounen, Action",6,3,5,570,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7736,6.09,0
Sports,6,3,1,4096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9795,5.55,0
"Romance, Music",4,1,1,8194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9408,6.47,1
"Mistery, Historical, Romance, Action, Otro",6,0,1,33866,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3781,7.89,34
Historical,10,0,1,1024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11021,5.75,1
"Comedy, Romance, Shounen",15,5,13,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,440,7.51,569
"Comedy, Romance, Fantasy, Shounen, Action",6,5,24,31,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4412,8.07,102
"Sci-Fi, Romance, Action",8,5,22,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3012,7.56,65
"Comedy, Romance, Fantasy, Supernatural",5,5,13,135,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,51,7.98,6925
"Comedy, Romance, Fantasy, Ecchi",13,5,13,263,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2470,7.33,52
Sci-Fi,6,4,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10247,5.95,0
"Comedy, Sci-Fi, Shounen, Action",9,3,1,57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,3333,6.88,15
"Fantasy, Shounen",6,4,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1572,7.49,124
"Mistery, Comedy, Sci-Fi",6,3,4,32801,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3722,7.03,43
"Sci-Fi, Shounen, Action, Otro",9,5,25,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,61,8.21,14200
"Comedy, Sports, Romance, Shounen",6,5,12,4115,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1715,6.71,168
"Historical, Romance, Shounen, Thriller, Otro",8,5,12,66642,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,724,7.84,1083
"Romance, Supernatural, Otro",6,5,11,194,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1518,7.34,179
"Sci-Fi, Romance, Action",9,0,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4302,7.3,7
"Romance, Fantasy, Shoujo, Otro",5,3,1,582,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9736,6.09,0
Romance,9,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6529,6.51,3
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",6,3,3,287,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,5181,6.66,7
"Comedy, Romance, Fantasy, Shounen",6,2,5,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6992,6.9,3
"Romance, Otro",5,5,12,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,354,7.93,2548
"Historical, Romance, Fantasy, Shounen, Action",8,2,26,1054,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,7272,7.68,31
Sci-Fi,9,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8951,4.85,1
"Comedy, Romance, Shounen",6,5,13,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,855,7.82,346
"Romance, Fantasy",5,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1922,7.85,42
"Shounen, Otro",6,3,2,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8196,7.1,4
"Comedy, Romance, Otro",6,4,1,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7663,6.01,0
"Romance, Ecchi",13,5,12,258,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,6.02,2420
"Fantasy, Action, Supernatural",4,5,51,140,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7352,5.91,2
"Sports, Romance, Shounen, Action",6,5,24,4122,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1261,8.24,588
"Comedy, Historical",14,2,52,1025,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,464,7.68,5040
"Sci-Fi, Action",4,2,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8342,5.13,1
"Romance, Supernatural",13,5,13,130,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3890,6.08,5
Comedy,10,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12048,4.42,0
"Comedy, Fantasy",6,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12763,5.8,0
"Sci-Fi, Fantasy, Action, Ecchi",9,4,1,300,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4813,7.0,10
"Sci-Fi, Romance",6,0,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7490,6.68,2
"Historical, Romance, Fantasy, Otro",8,5,26,1094,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3959,8.09,114
"Sci-Fi, Action",9,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5187,7.29,3
"Comedy, Sci-Fi, Romance, Fantasy, Action",6,0,1,47,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4080,7.87,116
"Comedy, Romance, Otro",9,2,4,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12576,4.54,0
"Comedy, Romance, Otro",6,4,4,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3504,6.65,8
"Comedy, Romance",9,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5058,7.87,6
"Comedy, Fantasy, Shounen, Action",6,0,1,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1392,7.22,239
"Sci-Fi, Otro",9,5,23,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,161,7.99,8663
"Comedy, Shounen, Otro",2,0,1,81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6499,7.16,4
"Comedy, Romance, Supernatural, Otro",6,3,2,195,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1592,8.15,94
"Historical, Romance, Otro",6,5,12,1090,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1107,8.87,1395
