Genres,Source,Type,Episodes,Decimal,Popularity,Score,Favorites
"Fantasy, Action, Supernatural",8,5,45,140,1016,8.13,1907
"Romance, Shoujo, Supernatural, Ecchi",13,3,1,898,2721,6.04,64
Comedy,6,5,0,1,10123,3.44,0
"Sci-Fi, Fantasy, Action",6,3,4,44,1950,7.14,184
Comedy,5,4,6,1,3977,6.15,3
"Sci-Fi, Romance, Action",5,4,1,42,6165,7.35,3
Comedy,9,4,25,1,4119,7.42,7
Comedy,9,2,1,1,12944,4.32,0
"Historical, Action",6,5,12,1032,2963,5.91,13
"Romance, Thriller, Otro",9,0,1,65602,637,8.01,226
"Fantasy, Otro",6,5,51,68,9003,6.86,3
"Fantasy, Shounen, Action, Ecchi",6,5,10,284,1025,6.41,158
"Sci-Fi, Fantasy, Action",6,3,1,44,9879,5.73,0
"Fantasy, Ecchi",10,5,10,260,2533,5.2,47
Comedy,5,4,1,1,2146,6.65,29
"Comedy, Shounen",6,4,4,17,8668,5.92,0
"Sci-Fi, Action",9,3,2,40,6716,5.63,3
Hentai,13,3,1,2048,4398,6.54,39
"Sci-Fi, Romance, Fantasy",9,5,13,38,2600,6.95,159
"Comedy, Romance, Music",15,5,26,8195,183,8.14,7149
"Romance, Hentai",6,3,2,2050,2808,6.93,92
"Comedy, Fantasy, Otro",4,0,1,69,4395,7.13,13
"Comedy, Romance",6,5,12,3,1826,7.47,143
Fantasy,6,0,1,4,3511,7.57,17
"Comedy, Romance",6,5,12,3,3130,6.03,13
"Sci-Fi, Fantasy",13,3,2,36,6326,5.81,0
"Comedy, Sci-Fi",9,5,13,33,468,7.88,2868
"Fantasy, Shounen, Action, Supernatural",6,3,2,156,1245,7.77,94
"Sci-Fi, Shounen, Action",6,5,12,56,821,7.5,800
"Comedy, Music",9,5,25,8193,5092,6.47,7
Hentai,6,3,1,2048,7015,6.49,6
"Romance, Fantasy",11,0,1,6,4822,7.17,21
"Sci-Fi, Fantasy, Action",9,5,22,44,347,7.69,1717
"Fantasy, Shounen, Action",6,5,42,28,1730,7.42,219
"Romance, Music",8,5,13,8194,367,8.02,3337
"Comedy, Sci-Fi, Historical, Shounen, Action",6,5,12,1081,1724,8.85,393
"Historical, Fantasy",9,5,26,1028,4956,6.06,15
"Comedy, Romance, Shounen",6,5,12,19,1035,7.27,210
"Comedy, Romance",10,5,141,3,10281,6.66,2
Romance,6,4,2,2,4512,7.7,2
Otro,2,5,12,64,856,7.36,501
"Comedy, Romance, Shoujo, Shounen, Ecchi",6,5,12,787,2624,6.28,26
"Comedy, Shounen",6,5,119,17,11377,6.05,0
"Comedy, Romance, Shounen",6,0,1,19,1690,7.94,230
"Gore, Action, Supernatural",10,3,22,16520,2509,7.12,55
"Sci-Fi, Romance, Fantasy, Action",6,4,1,46,8226,5.97,2
"Mistery, Romance, Fantasy, Shounen, Otro",6,5,12,32854,1064,7.73,539
"Fantasy, Shounen, Otro",6,5,12,84,1135,7.2,147
"Comedy, Otro",14,5,13,65,5286,6.84,6
"Comedy, Fantasy, Supernatural",5,5,26,133,949,7.85,1702
Sci-Fi,9,5,12,32,1133,7.01,159
"Comedy, Fantasy, Shounen, Action",6,5,131,29,278,7.78,4314
"Comedy, Romance, Fantasy",6,5,12,7,1842,6.82,65
"Fantasy, Hentai, Action",13,3,4,2060,3031,7.56,437
"Historical, Action, Otro",9,5,12,1096,922,7.71,609
"Comedy, Supernatural",6,5,12,129,2572,6.78,83
Music,13,3,1,8192,7323,6.57,3
"Historical, Supernatural",9,5,25,1152,3394,7.0,20
"Sci-Fi, Romance, Fantasy, Shounen, Supernatural, Otro",4,5,25,246,479,7.63,1748
"Fantasy, Action, Supernatural",13,0,1,140,609,7.53,732
"Shoujo, Otro",6,3,6,576,10531,5.43,0
"Comedy, Fantasy, Shounen, Action",6,5,175,29,19,8.08,37733
"Shounen, Action, Otro",10,5,26,88,7208,5.09,3
"Comedy, Romance, Otro",14,5,14,67,2514,6.93,36
Hentai,13,3,1,2048,3193,7.5,225
Hentai,13,3,1,2048,5915,6.85,15
"Comedy, Romance",6,4,2,3,4616,7.18,4
"Comedy, Fantasy, Ecchi",5,5,12,261,2460,5.66,20
Comedy,9,5,13,1,4141,5.62,27
"Comedy, Sci-Fi, Romance, Fantasy, Ecchi",9,5,12,295,1601,6.87,164
Romance,4,5,4,2,3880,5.72,3
"Comedy, Sci-Fi, Hentai, Action",9,3,2,2089,2820,6.72,66
"Fantasy, Otro",6,5,24,68,3338,7.7,68
Hentai,6,3,2,2048,5651,7.04,14
"Sci-Fi, Romance, Fantasy, Shoujo, Supernatural",13,3,2,678,2980,5.58,30
"Romance, Shounen, Action",6,3,1,26,2973,6.9,14
"Comedy, Romance, Fantasy, Shoujo",6,5,25,519,1561,6.71,253
"Gore, Action, Supernatural",6,3,1,16520,9179,5.97,1
"Comedy, Romance",15,5,13,3,516,7.96,386
"Historical, Romance, Shoujo",6,5,42,1538,6820,7.37,7
"Comedy, Fantasy, Shounen, Action",6,4,1,29,1360,6.84,269
"Comedy, Fantasy, Shounen",6,4,2,21,2783,6.91,30
"Comedy, Romance",9,2,24,3,2833,5.91,28
"Comedy, Romance, Fantasy",9,5,12,7,1415,7.05,462
Comedy,9,4,2,1,5184,6.57,3
"Comedy, Romance",14,5,13,3,1020,7.55,213
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",5,5,26,63,1471,7.61,387
"Comedy, Fantasy, Shoujo",9,3,1,517,11339,6.06,0
"Comedy, Sci-Fi",10,5,13,33,2200,6.51,40
"Comedy, Sci-Fi, Shounen",6,4,2,49,9968,6.36,0
"Shoujo, Music, Gore, Supernatural, Otro",6,1,1,25280,8760,5.0,1
"Sports, Romance, Action",6,5,26,4106,9958,6.07,1
Comedy,9,5,243,1,10937,5.7,0
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,224,6.97,1153
"Hentai, Ecchi",13,3,3,2304,2596,7.53,326
"Comedy, Sci-Fi, Shounen",6,4,1,49,9732,6.03,0
Comedy,9,2,1,1,11317,5.36,0
Hentai,13,3,5,2048,5705,6.3,5
"Comedy, Sports, Romance, Shounen, Action",6,5,178,4123,806,8.01,2833
"Sci-Fi, Romance, Shounen",6,3,2,50,2150,7.22,131
"Sci-Fi, Romance, Shoujo, Shounen, Action",6,3,5,570,7736,6.09,0
Sports,6,3,1,4096,9795,5.55,0
"Romance, Music",4,1,1,8194,9408,6.47,1
"Mistery, Historical, Romance, Action, Otro",6,0,1,33866,3781,7.89,34
Historical,10,0,1,1024,11021,5.75,1
"Comedy, Romance, Shounen",15,5,13,19,440,7.51,569
"Comedy, Romance, Fantasy, Shounen, Action",6,5,24,31,4412,8.07,102
"Sci-Fi, Romance, Action",8,5,22,42,3012,7.56,65
"Comedy, Romance, Fantasy, Supernatural",5,5,13,135,51,7.98,6925
"Comedy, Romance, Fantasy, Ecchi",13,5,13,263,2470,7.33,52
Sci-Fi,6,4,9,32,10247,5.95,0
"Comedy, Sci-Fi, Shounen, Action",9,3,1,57,3333,6.88,15
"Fantasy, Shounen",6,4,1,20,1572,7.49,124
"Mistery, Comedy, Sci-Fi",6,3,4,32801,3722,7.03,43
"Sci-Fi, Shounen, Action, Otro",9,5,25,120,61,8.21,14200
"Comedy, Sports, Romance, Shounen",6,5,12,4115,1715,6.71,168
"Historical, Romance, Shounen, Thriller, Otro",8,5,12,66642,724,7.84,1083
"Romance, Supernatural, Otro",6,5,11,194,1518,7.34,179
"Sci-Fi, Romance, Action",9,0,1,42,4302,7.3,7
"Romance, Fantasy, Shoujo, Otro",5,3,1,582,9736,6.09,0
Romance,9,4,1,2,6529,6.51,3
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",6,3,3,287,5181,6.66,7
"Comedy, Romance, Fantasy, Shounen",6,2,5,23,6992,6.9,3
"Romance, Otro",5,5,12,66,354,7.93,2548
"Historical, Romance, Fantasy, Shounen, Action",8,2,26,1054,7272,7.68,31
Sci-Fi,9,0,1,32,8951,4.85,1
"Comedy, Romance, Shounen",6,5,13,19,855,7.82,346
"Romance, Fantasy",5,0,1,6,1922,7.85,42
"Shounen, Otro",6,3,2,80,8196,7.1,4
"Comedy, Romance, Otro",6,4,1,67,7663,6.01,0
"Romance, Ecchi",13,5,12,258,145,6.02,2420
"Fantasy, Action, Supernatural",4,5,51,140,7352,5.91,2
"Sports, Romance, Shounen, Action",6,5,24,4122,1261,8.24,588
"Comedy, Historical",14,2,52,1025,464,7.68,5040
"Sci-Fi, Action",4,2,4,40,8342,5.13,1
"Romance, Supernatural",13,5,13,130,3890,6.08,5
Comedy,10,2,1,1,12048,4.42,0
"Comedy, Fantasy",6,0,1,5,12763,5.8,0
"Sci-Fi, Fantasy, Action, Ecchi",9,4,1,300,4813,7.0,10
"Sci-Fi, Romance",6,0,1,34,7490,6.68,2
"Historical, Romance, Fantasy, Otro",8,5,26,1094,3959,8.09,114
"Sci-Fi, Action",9,2,1,40,5187,7.29,3
"Comedy, Sci-Fi, Romance, Fantasy, Action",6,0,1,47,4080,7.87,116
"Comedy, Romance, Otro",9,2,4,67,12576,4.54,0
"Comedy, Romance, Otro",6,4,4,67,3504,6.65,8
"Comedy, Romance",9,0,1,3,5058,7.87,6
"Comedy, Fantasy, Shounen, Action",6,0,1,29,1392,7.22,239
"Sci-Fi, Otro",9,5,23,96,161,7.99,8663
"Comedy, Shounen, Otro",2,0,1,81,6499,7.16,4
"Comedy, Romance, Supernatural, Otro",6,3,2,195,1592,8.15,94
"Historical, Romance, Otro",6,5,12,1090,1107,8.87,1395
"Comedy, Sci-Fi, Fantasy, Shounen",9,5,12,53,4384,6.71,12
"Romance, Hentai, Supernatural",13,3,2,2178,5194,6.51,38
"Fantasy, Shounen, Action, Supernatural",6,0,1,156,796,7.88,495
"Fantasy, Shounen, Action",6,0,1,28,903,7.57,165
Fantasy,5,5,26,4,2055,7.25,100
"Comedy, Fantasy, Shounen, Action, Supernatural",6,5,12,157,213,7.48,3587
Ecchi,14,5,0,256,4008,5.26,28
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action, Supernatural",6,5,26,191,3310,6.71,27
"Sci-Fi, Romance, Shounen, Action",9,0,1,58,2181,8.18,87
"Romance, Fantasy, Action",6,3,3,14,3812,7.64,138
Romance,9,2,1,2,5846,5.77,1
"Comedy, Supernatural, Ecchi",6,3,1,385,454,6.75,300
"Romance, Fantasy, Ecchi",5,5,12,262,972,6.43,116
"Romance, Otro",6,5,11,66,2199,7.45,124
"Fantasy, Shounen, Supernatural",4,0,1,148,8170,6.81,2
"Fantasy, Shoujo, Action",9,5,48,524,3113,7.2,203
"Historical, Fantasy, Action",2,5,13,1036,1130,6.8,287
"Fantasy, Shounen, Action",6,5,148,28,35,9.11,64375
"Comedy, Romance, Shounen",6,5,12,19,921,8.23,855
Comedy,6,3,3,1,8527,6.35,5
"Romance, Fantasy, Shoujo, Supernatural",6,5,11,646,1038,8.64,459
"Comedy, Historical, Shounen, Action",6,4,1,1049,3165,8.14,32
"Romance, Gore, Action, Otro",4,5,11,16458,703,7.77,1926
"Comedy, Romance, Fantasy, Shounen, Action",6,5,12,31,554,7.53,1894
"Romance, Shounen, Action, Thriller",13,5,26,65562,373,8.11,3688
"Comedy, Romance, Shounen, Ecchi",6,3,4,275,2440,6.49,33
Romance,9,4,1,2,5950,5.8,0
"Sports, Romance, Shounen, Action",6,3,1,4122,2806,7.64,56
"Comedy, Romance, Otro",1,5,26,67,6254,6.52,1
"Fantasy, Action, Supernatural",4,5,12,140,371,7.11,1506
"Comedy, Historical, Romance, Action, Ecchi",5,5,12,1291,712,6.95,257
"Comedy, Romance",6,5,12,3,1150,7.38,289
"Romance, Shoujo",6,5,12,514,1249,6.9,135
"Sci-Fi, Otro",8,0,1,96,1850,7.1,178
"Comedy, Romance",6,3,6,3,3729,7.91,25
Comedy,9,4,1,1,5042,6.83,4
Romance,15,2,11,2,7324,6.03,1
"Sci-Fi, Fantasy",9,5,48,36,6266,6.81,7
"Comedy, Romance, Shounen",6,5,11,19,967,8.33,448
Sports,4,5,0,4096,2049,7.2,85
"Comedy, Romance",6,5,13,3,5159,6.56,14
"Sci-Fi, Romance, Action",9,4,1,42,3556,7.48,23
"Sports, Shounen",6,0,1,4112,4136,7.92,23
"Sci-Fi, Romance, Action",5,4,1,42,4498,7.26,10
"Mistery, Comedy, Fantasy, Shounen, Otro",6,0,1,32853,2404,7.61,11
Hentai,6,3,4,2048,5346,6.48,9
Romance,10,0,1,2,1633,6.69,180
"Comedy, Sci-Fi, Fantasy, Shounen, Action",5,5,12,61,5291,6.91,15
"Comedy, Romance",5,5,12,3,110,7.34,4188
"Fantasy, Shoujo, Otro",9,0,1,580,6043,6.91,4
"Comedy, Shoujo",6,5,25,513,813,7.86,2193
"Comedy, Romance, Fantasy, Shounen, Supernatural",6,5,22,151,1565,7.66,163
Action,8,5,12,8,1189,7.56,235
"Comedy, Fantasy, Action",4,5,48,13,2235,6.89,62
"Romance, Ecchi",13,5,13,258,3058,6.3,16
Sci-Fi,6,4,1,32,4633,5.47,3
"Fantasy, Shounen",8,5,24,20,11651,6.14,1
"Sports, Shounen",6,5,23,4112,4372,6.16,10
Comedy,6,4,9,1,2003,6.73,54
"Comedy, Romance",6,5,26,3,9228,6.57,2
"Comedy, Otro",7,5,10,65,10266,5.5,1
"Comedy, Romance",6,5,13,3,1513,7.63,62
"Comedy, Fantasy",9,5,13,5,4793,7.09,20
"Comedy, Sci-Fi, Fantasy, Shounen, Otro",9,5,39,117,4404,6.37,15
"Comedy, Ecchi",5,4,6,257,3986,6.7,3
Comedy,9,2,3,1,8257,5.32,2
Fantasy,6,0,1,4,6618,7.18,12
"Comedy, Ecchi, Otro",10,5,13,321,2256,5.97,29
"Comedy, Sci-Fi, Romance, Fantasy, Action",6,0,1,47,5686,6.99,1
"Comedy, Romance, Shoujo",13,2,10,515,4295,6.66,19
Hentai,13,3,2,2048,5415,6.74,11
"Comedy, Romance, Ecchi",9,4,9,259,2274,7.21,131
"Action, Supernatural, Thriller",6,2,1,65672,7155,5.77,0
"Comedy, Fantasy, Supernatural",5,3,1,133,711,7.86,202
"Historical, Fantasy, Shounen, Action",8,5,10,1052,7262,6.68,11
"Romance, Shoujo",6,3,2,514,2312,7.25,71
"Comedy, Romance, Fantasy, Shoujo, Otro",6,5,172,583,3546,7.43,111
"Sci-Fi, Romance, Action",9,5,25,42,1438,8.26,660
Comedy,9,5,13,1,10998,5.35,0
Romance,5,5,13,2,4369,6.33,11
"Comedy, Romance, Fantasy",9,5,24,7,2914,7.16,114
"Fantasy, Action",9,3,4,12,2993,7.34,25
"Fantasy, Otro",6,3,15,68,5127,7.88,5
Otro,4,0,1,64,2888,7.68,102
"Fantasy, Shoujo, Music",9,3,1,8708,7621,7.18,3
"Comedy, Sports, Shounen",9,5,21,4113,12084,5.8,0
"Comedy, Shounen, Action",6,3,12,25,9100,6.64,2
"Comedy, Sci-Fi, Romance, Fantasy",9,5,26,39,4116,7.39,113
"Romance, Gore",13,3,1,16386,1077,6.32,139
"Comedy, Fantasy, Shounen, Action",6,0,1,29,2132,7.26,48
"Historical, Fantasy",10,0,1,1028,13898,4.55,0
Otro,9,5,52,64,11988,4.64,0
"Comedy, Sci-Fi, Fantasy, Action, Otro",4,0,1,109,1399,7.08,66
"Sports, Romance, Shoujo, Music",6,5,19,12802,6247,6.69,14
"Comedy, Sci-Fi, Romance",5,3,1,35,2100,7.64,56
"Comedy, Sci-Fi, Romance, Shounen, Action, Ecchi",6,5,12,315,2085,6.69,47
"Sci-Fi, Historical, Action",9,0,1,1064,7546,6.18,2
"Romance, Fantasy, Shoujo, Action",9,0,1,526,7635,7.38,1
Fantasy,2,5,52,4,7340,6.77,5
"Romance, Shounen, Action",9,5,12,26,3886,7.5,30
"Comedy, Romance",9,4,1,3,4425,7.43,4
"Sci-Fi, Fantasy, Action, Otro",6,5,13,108,617,7.3,1019
"Comedy, Romance, Shounen, Action, Ecchi",15,5,12,283,2322,5.89,16
"Comedy, Shounen",9,0,1,17,13590,6.36,0
"Fantasy, Shounen, Action, Supernatural, Otro",9,5,59,220,3427,7.36,63
"Mistery, Comedy, Fantasy, Shounen, Otro",6,0,1,32853,1970,8.0,46
"Sci-Fi, Romance, Shoujo, Otro",13,4,1,610,2865,6.24,41
"Romance, Gore, Shounen, Supernatural, Otro",6,5,12,16594,317,7.93,3060
"Comedy, Romance, Fantasy",6,0,1,7,7254,6.69,0
"Comedy, Sports",6,5,12,4097,4236,6.73,10
"Comedy, Romance",15,4,1,3,9044,6.5,0
"Comedy, Romance, Otro",6,5,13,67,2282,7.47,172
"Romance, Gore, Action, Supernatural",9,5,13,16522,1681,7.5,355
"Historical, Romance, Shounen",6,4,6,1042,5968,6.41,0
Comedy,10,0,4,1,3792,6.38,29
"Fantasy, Shounen, Action",6,0,1,28,455,7.55,657
"Romance, Music, Shounen, Ecchi",6,5,12,8466,610,6.73,587
"Comedy, Sci-Fi, Shounen",6,5,13,49,1250,7.53,282
Hentai,13,3,2,2048,5190,6.84,13
"Comedy, Sports, Romance, Otro",10,4,1,4163,9557,5.64,0
Romance,13,4,1,2,8844,6.51,1
"Sci-Fi, Romance, Action",8,0,1,42,2924,8.17,36
"Sci-Fi, Romance, Action",8,3,7,42,1481,8.31,1066
Hentai,13,3,2,2048,6194,6.54,9
"Gore, Otro",4,0,1,16448,5165,4.4,0
"Gore, Supernatural",9,5,13,16512,1547,7.18,159
"Action, Supernatural",14,5,12,136,1321,5.69,74
"Fantasy, Shounen, Action",6,3,14,28,1145,8.38,195
"Fantasy, Otro",5,5,12,68,529,7.47,817
"Sci-Fi, Romance, Fantasy, Action",6,5,24,46,1219,6.81,179
"Mistery, Action",6,3,4,32776,4835,6.35,38
"Sci-Fi, Fantasy, Shounen",9,5,44,52,7850,6.9,2
"Mistery, Comedy, Fantasy, Shounen, Otro",6,0,1,32853,2192,7.96,26
"Comedy, Sci-Fi",9,5,50,33,9548,6.56,1
"Music, Gore",9,0,1,24576,13793,3.77,0
"Comedy, Sports, Romance",6,5,25,4099,1985,8.46,307
"Comedy, Romance, Shoujo, Music",6,5,47,8707,262,8.51,12291
"Fantasy, Action",2,5,12,12,1177,6.23,117
"Mistery, Comedy, Sci-Fi, Fantasy, Shounen, Action, Ecchi",9,5,13,33085,4179,6.66,17
"Comedy, Fantasy, Shounen, Action, Otro",6,4,1,93,5727,7.23,2
"Comedy, Romance",9,5,0,3,10231,5.54,1
"Comedy, Shounen",6,4,7,17,4624,6.97,6
"Sci-Fi, Romance, Action",5,4,1,42,6393,7.42,2
"Mistery, Sci-Fi, Fantasy, Action",9,4,1,32812,7003,7.22,1
"Comedy, Romance, Ecchi",6,3,1,259,5238,6.1,12
"Comedy, Sci-Fi, Fantasy, Shounen",6,5,25,53,5169,6.75,8
"Comedy, Shounen, Otro",2,4,1,81,4681,7.04,3
"Comedy, Fantasy, Action, Otro",4,4,1,77,10961,5.77,0
"Historical, Romance, Fantasy",8,5,33,1030,2528,8.45,318
"Sci-Fi, Fantasy, Action",6,0,1,44,5734,6.93,5
"Comedy, Romance, Shounen, Supernatural",6,5,120,147,580,8.56,2969
"Comedy, Sci-Fi, Shounen",6,0,1,49,7814,7.49,8
Comedy,14,4,1,1,12499,6.11,0
"Romance, Shounen, Action, Supernatural",6,5,12,154,200,7.8,1756
"Sports, Romance, Shoujo, Music",4,5,51,12802,4356,7.75,121
Otro,5,4,1,64,1372,7.26,100
"Comedy, Romance, Ecchi",5,5,12,259,632,7.45,635
"Comedy, Romance, Shounen, Supernatural",6,5,24,147,1319,8.67,473
"Comedy, Fantasy, Action, Otro",4,5,191,77,1259,7.24,283
"Comedy, Sci-Fi, Romance, Shounen, Supernatural, Ecchi",6,5,12,435,408,7.75,920
"Comedy, Fantasy, Action, Otro",4,4,1,77,7950,6.35,0
"Comedy, Sci-Fi, Romance, Fantasy, Otro",9,5,26,103,902,8.15,1333
"Comedy, Romance, Shounen, Supernatural",6,5,12,147,6015,6.81,10
"Romance, Shoujo",6,3,1,514,4244,5.59,4
"Comedy, Romance, Supernatural, Otro",6,5,13,195,944,8.3,480
"Sports, Romance",9,5,26,4098,4239,7.27,35
"Sports, Action, Ecchi",6,5,12,4360,2013,5.92,57
"Historical, Fantasy, Shoujo, Gore, Supernatural",6,3,2,18052,6139,6.19,2
"Mistery, Sci-Fi, Shounen, Action, Otro",6,5,26,32888,545,8.55,2392
"Fantasy, Music",9,2,0,8196,12434,4.41,0
"Comedy, Historical, Fantasy, Ecchi",13,5,12,1285,2429,6.94,41
"Fantasy, Action, Supernatural, Ecchi",5,3,8,396,1155,7.27,170
"Comedy, Romance",9,0,1,3,4951,7.83,4
"Comedy, Fantasy, Otro",9,0,1,69,11512,5.86,1
"Comedy, Shounen, Supernatural, Otro",6,5,25,209,1538,7.71,544
"Comedy, Romance, Fantasy",6,5,24,7,814,8.06,1320
"Comedy, Fantasy, Otro",10,5,23,69,7473,7.48,2
Romance,9,5,12,2,1712,5.64,57
"Comedy, Shoujo",6,5,22,513,10007,6.77,1
"Sports, Shounen",4,5,51,4112,2709,7.38,173
Romance,9,4,1,2,9159,5.32,0
"Comedy, Shounen",6,5,26,17,4699,8.04,25
"Comedy, Romance, Ecchi",13,5,13,259,5301,5.95,6
"Comedy, Romance, Otro",6,5,0,67,7178,7.31,17
"Comedy, Sports, Romance, Shounen",6,5,25,4115,153,8.49,3575
"Sci-Fi, Romance, Fantasy, Action",9,5,52,46,2999,7.74,175
Fantasy,9,4,1,4,3481,7.41,16
"Comedy, Sci-Fi, Romance, Shounen, Action, Otro",9,0,1,123,3525,6.86,29
"Comedy, Historical, Romance, Fantasy, Supernatural, Otro",6,5,12,1223,1113,7.17,370
"Comedy, Romance, Fantasy, Ecchi",5,5,24,263,1154,6.94,228
"Fantasy, Otro",4,2,1,68,5747,6.07,0
"Comedy, Fantasy",4,5,24,5,12895,6.64,0
"Comedy, Romance, Supernatural",6,5,25,131,4009,8.12,89
"Sci-Fi, Fantasy, Shounen, Action",6,0,1,60,7183,6.67,2
"Shounen, Supernatural, Thriller, Otro",8,5,13,65744,1705,7.28,190
Hentai,13,3,2,2048,5871,6.73,12
"Fantasy, Ecchi",10,2,12,260,5085,5.88,4
"Fantasy, Gore, Otro",13,3,3,16452,3809,6.59,17
"Comedy, Gore",15,5,12,16385,883,7.39,598
"Comedy, Romance, Music",4,5,25,8195,850,7.71,1415
"Romance, Fantasy, Shounen",6,4,1,22,4343,7.37,20
"Fantasy, Action",9,5,24,12,1866,6.35,94
"Romance, Shounen, Action, Otro",6,5,50,90,3477,7.35,55
"Romance, Fantasy",9,3,2,6,7820,5.91,3
"Comedy, Fantasy",9,5,13,5,5446,7.23,3
Hentai,6,3,2,2048,5704,6.78,11
Hentai,6,3,2,2048,3709,6.01,101
"Mistery, Sci-Fi, Shounen",6,4,1,32816,5666,6.7,6
Otro,11,4,1,64,6406,5.94,0
"Comedy, Romance, Ecchi",5,4,6,259,3407,6.58,10
"Comedy, Sci-Fi, Shoujo",6,5,36,545,6797,6.25,7
Comedy,5,4,1,1,3470,5.49,7
Sci-Fi,5,5,26,32,1421,7.22,245
"Historical, Fantasy, Action",9,3,1,1036,4464,5.68,4
"Gore, Action, Otro",4,5,12,16456,584,7.67,1215
"Comedy, Sci-Fi, Fantasy",9,2,4,37,12355,4.75,0
"Comedy, Romance, Fantasy, Shoujo, Action",9,5,50,527,4163,7.8,153
"Sci-Fi, Historical",10,5,26,1056,973,7.57,655
"Comedy, Shounen",6,3,1,17,4539,6.61,15
"Comedy, Romance, Shounen, Otro",6,5,12,83,336,7.7,1719
"Sci-Fi, Romance, Fantasy, Action",9,5,13,46,4739,6.36,8
