Genres,Decimal,Episodes,Type,Source,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Members,Score,Favorites
"Comedy, Romance",3,12,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14460,6.03,13
"Sci-Fi, Fantasy",36,2,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2569,5.81,0
"Comedy, Sci-Fi",33,13,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,171855,7.88,2868
"Fantasy, Shounen, Action, Supernatural",156,2,3,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,65495,7.77,94
"Sci-Fi, Shounen, Action",56,12,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,105762,7.5,800
"Comedy, Music",8193,25,5,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4497,6.47,7
Hentai,2048,1,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1872,6.49,6
"Romance, Fantasy",6,1,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5161,7.17,21
"Sci-Fi, Fantasy, Action",44,22,5,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,214467,7.69,1717
"Fantasy, Shounen, Action",28,42,5,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,41792,7.42,219
"Romance, Music",8194,13,5,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,203942,8.02,3337
"Comedy, Sci-Fi, Historical, Shounen, Action",1081,12,5,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,42265,8.85,393
"Historical, Fantasy",1028,26,5,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4777,6.06,15
"Comedy, Romance, Shounen",19,12,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,80620,7.27,210
"Comedy, Romance",3,141,5,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,334,6.66,2
Romance,2,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6066,7.7,2
Otro,64,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101587,7.36,501
"Comedy, Romance, Shoujo, Shounen, Ecchi",787,12,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20817,6.28,26
"Comedy, Shounen",17,119,5,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,189,6.05,0
"Comedy, Romance, Shounen",19,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43396,7.94,230
"Gore, Action, Supernatural",16520,22,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,22360,7.12,55
"Sci-Fi, Romance, Fantasy, Action",46,1,4,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1027,5.97,2
"Mistery, Romance, Fantasy, Shounen, Otro",32854,12,5,6,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,77826,7.73,539
"Fantasy, Shounen, Otro",84,12,5,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,72634,7.2,147
"Comedy, Otro",65,13,5,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4052,6.84,6
"Comedy, Fantasy, Supernatural",133,26,5,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,89198,7.85,1702
Sci-Fi,32,12,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72747,7.01,159
"Comedy, Fantasy, Shounen, Action",29,131,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,250101,7.78,4314
"Comedy, Romance, Fantasy",7,12,5,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37639,6.82,65
"Fantasy, Hentai, Action",2060,4,3,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,15385,7.56,437
"Historical, Action, Otro",1096,12,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,92722,7.71,609
"Comedy, Supernatural",129,12,5,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21460,6.78,83
Music,8192,1,3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1599,6.57,3
"Historical, Supernatural",1152,25,5,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12136,7.0,20
"Sci-Fi, Romance, Fantasy, Shounen, Supernatural, Otro",246,25,5,4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,167555,7.63,1748
"Fantasy, Action, Supernatural",140,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,136486,7.53,732
"Shoujo, Otro",576,6,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291,5.43,0
"Comedy, Fantasy, Shounen, Action",29,175,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,818652,8.08,37733
"Shounen, Action, Otro",88,26,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1699,5.09,3
"Comedy, Romance, Otro",67,14,5,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22259,6.93,36
Hentai,2048,1,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14009,7.5,225
Hentai,2048,1,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3062,6.85,15
"Comedy, Romance",3,2,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5737,7.18,4
"Comedy, Fantasy, Ecchi",261,12,5,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23317,5.66,20
Comedy,1,13,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7543,5.62,27
"Comedy, Sci-Fi, Romance, Fantasy, Ecchi",295,12,5,9,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,46881,6.87,164
Romance,2,4,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8804,5.72,3
"Comedy, Sci-Fi, Hentai, Action",2089,2,3,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,17853,6.72,66
"Fantasy, Otro",68,24,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12673,7.7,68
Hentai,2048,2,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3451,7.04,14
"Sci-Fi, Romance, Fantasy, Shoujo, Supernatural",678,2,3,13,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,15962,5.58,30
"Romance, Shounen, Action",26,1,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16145,6.9,14
"Comedy, Romance, Fantasy, Shoujo",519,25,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,48456,6.71,253
"Gore, Action, Supernatural",16520,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,608,5.97,1
"Comedy, Romance",3,13,5,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,156252,7.96,386
"Historical, Romance, Shoujo",1538,42,5,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2036,7.37,7
"Comedy, Fantasy, Shounen, Action",29,1,4,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,59577,6.84,269
"Comedy, Fantasy, Shounen",21,2,4,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18357,6.91,30
"Comedy, Romance",3,24,2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17706,5.91,28
"Comedy, Romance, Fantasy",7,12,5,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,56161,7.05,462
Comedy,1,2,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4283,6.57,3
"Comedy, Romance",3,13,5,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82352,7.55,213
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",63,26,5,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,53314,7.61,387
"Comedy, Fantasy, Shoujo",517,1,3,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,192,6.06,0
"Comedy, Sci-Fi",33,13,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27988,6.51,40
"Comedy, Sci-Fi, Shounen",49,2,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,394,6.36,0
"Shoujo, Music, Gore, Supernatural, Otro",25280,1,1,6,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,772,5.0,1
"Sports, Romance, Action",4106,26,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,395,6.07,1
Comedy,1,243,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230,5.7,0
"Comedy, Romance, Shounen, Ecchi",275,12,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,291333,6.97,1153
"Hentai, Ecchi",2304,3,3,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21169,7.53,326
"Comedy, Sci-Fi, Shounen",49,1,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,445,6.03,0
Comedy,1,1,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,193,5.36,0
Hentai,2048,5,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3376,6.3,5
"Comedy, Sports, Romance, Shounen, Action",4123,178,5,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,107492,8.01,2833
"Sci-Fi, Romance, Shounen",50,2,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,29153,7.22,131
"Sci-Fi, Romance, Shoujo, Shounen, Action",570,5,3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1305,6.09,0
Sports,4096,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,427,5.55,0
"Romance, Music",8194,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,532,6.47,1
"Mistery, Historical, Romance, Action, Otro",33866,1,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,9371,7.89,34
Historical,1024,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,223,5.75,1
"Comedy, Romance, Shounen",19,13,5,15,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,180124,7.51,569
"Comedy, Romance, Fantasy, Shounen, Action",31,24,5,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,6408,8.07,102
"Sci-Fi, Romance, Action",42,22,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15577,7.56,65
"Comedy, Romance, Fantasy, Supernatural",135,13,5,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,630486,7.98,6925
"Comedy, Romance, Fantasy, Ecchi",263,13,5,13,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23096,7.33,52
Sci-Fi,32,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,5.95,0
"Comedy, Sci-Fi, Shounen, Action",57,1,3,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,12750,6.88,15
"Fantasy, Shounen",20,1,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47965,7.49,124
"Mistery, Comedy, Sci-Fi",32801,4,3,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9711,7.03,43
"Sci-Fi, Shounen, Action, Otro",120,25,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,563076,8.21,14200
"Comedy, Sports, Romance, Shounen",4115,12,5,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,42517,6.71,168
"Historical, Romance, Shounen, Thriller, Otro",66642,12,5,8,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,118834,7.84,1083
"Romance, Supernatural, Otro",194,11,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51051,7.34,179
"Sci-Fi, Romance, Action",42,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6824,7.3,7
"Romance, Fantasy, Shoujo, Otro",582,1,3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,445,6.09,0
Romance,2,1,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,6.51,3
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",287,3,3,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4283,6.66,7
"Comedy, Romance, Fantasy, Shounen",23,5,2,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1888,6.9,3
"Romance, Otro",66,12,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212461,7.93,2548
"Historical, Romance, Fantasy, Shounen, Action",1054,26,2,8,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1649,7.68,31
Sci-Fi,32,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,693,4.85,1
"Comedy, Romance, Shounen",19,13,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,101713,7.82,346
"Romance, Fantasy",6,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35288,7.85,42
"Shounen, Otro",80,2,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1041,7.1,4
"Comedy, Romance, Otro",67,1,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1354,6.01,0
"Romance, Ecchi",258,12,5,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361605,6.02,2420
"Fantasy, Action, Supernatural",140,51,5,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1578,5.91,2
"Sports, Romance, Shounen, Action",4122,24,5,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,64574,8.24,588
"Comedy, Historical",1025,52,2,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,173776,7.68,5040
"Sci-Fi, Action",40,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,965,5.13,1
"Romance, Supernatural",130,13,5,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8735,6.08,5
Comedy,1,1,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144,4.42,0
"Comedy, Fantasy",5,1,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111,5.8,0
"Sci-Fi, Fantasy, Action, Ecchi",300,1,4,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5183,7.0,10
"Sci-Fi, Romance",34,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1473,6.68,2
"Historical, Romance, Fantasy, Otro",1094,26,5,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8376,8.09,114
"Sci-Fi, Action",40,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4274,7.29,3
"Comedy, Sci-Fi, Romance, Fantasy, Action",47,1,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,7811,7.87,116
"Comedy, Romance, Otro",67,4,2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,119,4.54,0
"Comedy, Romance, Otro",67,4,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11220,6.65,8
"Comedy, Romance",3,1,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4550,7.87,6
"Comedy, Fantasy, Shounen, Action",29,1,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,57451,7.22,239
"Sci-Fi, Otro",96,23,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,342724,7.99,8663
"Comedy, Shounen, Otro",81,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2371,7.16,4
"Comedy, Romance, Supernatural, Otro",195,2,3,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,47208,8.15,94
